Year,Name
2025,John A. Pelli
2024,Dick Lennon
2023,Sue Gaspar
2022,Paul McNamara
2020,Steve Davidson
2019,Denise Silva
2018,Peter Chamberlain
2017,Ken Holbrook
2016,Marian Nihan
2015,Kim Whitworth
