School Year,Season,Sex,Division,Event,Qualifying Standard
2026-2027,winter,F,Central/West Sectional,500 Freestyle,6:08.84
2026-2027,winter,F,Central/West Sectional,200 Freestyle Relay,1:56.72
2026-2027,winter,F,Central/West Sectional,100 Backstroke,1:11.26
2026-2027,winter,F,Central/West Sectional,100 Breaststroke,1:19.99
2026-2027,winter,F,Central/West Sectional,400 Freestyle Relay,4:20.80
2026-2027,winter,F,South Sectional,200 Medley Relay,2:06.73
2026-2027,winter,F,South Sectional,200 Freestyle,2:14.16
2026-2027,winter,F,South Sectional,200 Individual Medley,2:30.13
2026-2027,winter,F,South Sectional,50 Freestyle,27.14
2026-2027,winter,F,South Sectional,Diving,175 x 2
2026-2027,winter,F,South Sectional,100 Butterfly,1:07.12
2026-2027,winter,F,South Sectional,100 Freestyle,1:00.26
2026-2027,winter,F,South Sectional,500 Freestyle,6:00.43
2026-2027,winter,F,South Sectional,200 Freestyle Relay,1:53.83
2026-2027,winter,F,South Sectional,100 Backstroke,1:09.56
2026-2027,winter,F,South Sectional,100 Breaststroke,1:19.77
2026-2027,winter,F,South Sectional,400 Freestyle Relay,4:13.24
2026-2027,winter,F,Division I State,200 Medley Relay,2:06.26
2026-2027,winter,F,Division I State,200 Freestyle,2:10.19
2026-2027,winter,F,Division I State,200 Individual Medley,2:28.29
2026-2027,winter,F,Division I State,50 Freestyle,26.88
2026-2027,winter,F,Division I State,Diving,185 x 2
2026-2027,winter,F,Division I State,100 Butterfly,1:06.91
2026-2027,winter,F,Division I State,100 Freestyle,59.39
2026-2027,winter,F,Division I State,500 Freestyle,5:47.54
2026-2027,winter,F,Division I State,200 Freestyle Relay,1:51.83
2026-2027,winter,F,Division I State,100 Backstroke,1:07.28
2026-2027,winter,F,Division I State,100 Breaststroke,1:17.62
2026-2027,winter,F,Division I State,400 Freestyle Relay,4:06.60
2026-2027,winter,F,Division II State,200 Medley Relay,2:04.90
2026-2027,winter,F,Division II State,200 Freestyle,2:10.01
2026-2027,winter,F,Division II State,200 Individual Medley,2:27.62
2026-2027,winter,F,Division II State,50 Freestyle,26.88
2026-2027,winter,F,Division II State,Diving,185 x 2
2026-2027,winter,F,Division II State,100 Butterfly,1:06.82
2026-2027,winter,F,Division II State,100 Freestyle,59.75
2026-2027,winter,F,Division II State,500 Freestyle,5:49.27
2026-2027,winter,F,Division II State,200 Freestyle Relay,1:52.23
2026-2027,winter,F,Division II State,100 Backstroke,1:07.88
2026-2027,winter,F,Division II State,100 Breaststroke,1:17.26
2026-2027,winter,F,Division II State,400 Freestyle Relay,4:06.03
2026-2027,winter,M,North Sectional,200 Medley Relay,1:52.61
2026-2027,winter,M,North Sectional,200 Freestyle,1:57.99
2026-2027,winter,M,North Sectional,200 Individual Medley,2:13.43
2026-2027,winter,M,North Sectional,50 Freestyle,24.23
2026-2027,winter,M,North Sectional,Diving,178 x 2
2026-2027,winter,M,North Sectional,100 Butterfly,59.10
2026-2027,winter,M,North Sectional,100 Freestyle,52.91
2026-2027,winter,M,North Sectional,500 Freestyle,5:24.50
2026-2027,winter,M,North Sectional,200 Freestyle Relay,1:40.52
